,GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,classicKS,elimKS
129,GO:0030246,carbohydrate binding,67,7,3.18,22,0.03872,0.22504,0.22504
175,GO:0004867,serine-type endopeptidase inhibitor acti...,30,4,1.42,23,0.05167,0.35311,0.35311
115,GO:0061134,peptidase regulator activity,58,6,2.75,24,0.05585,0.17918,0.17918
90,GO:0004497,monooxygenase activity,153,12,7.26,25,0.05964,0.13093,0.13093
80,GO:0008094,"ATP-dependent activity, acting on DNA",75,7,3.56,26,0.06436,1.1e-05,0.11215
23,GO:0042054,histone methyltransferase activity,20,3,0.95,27,0.06645,2.4e-05,0.01224
101,GO:0005249,voltage-gated potassium channel activity,20,3,0.95,28,0.06645,0.15371,0.15371
43,GO:0019843,rRNA binding,34,4,1.61,29,0.07556,0.04668,0.04668
79,GO:1902936,phosphatidylinositol bisphosphate bindin...,48,5,2.28,30,0.07581,0.1102,0.1102
91,GO:0016705,"oxidoreductase activity, acting on paire...",177,13,8.4,31,0.07781,0.13393,0.13393
11,GO:0003887,DNA-directed DNA polymerase activity,10,2,0.47,32,0.07858,0.00135,0.00135
269,GO:0000014,single-stranded DNA endodeoxyribonucleas...,10,2,0.47,33,0.07858,0.61488,0.61488
276,GO:0019200,carbohydrate kinase activity,10,2,0.47,34,0.07858,0.62349,0.62349
543,GO:0034061,DNA polymerase activity,10,2,0.47,35,0.07858,0.00135,1
18,GO:0140658,ATP-dependent chromatin remodeler activi...,22,3,1.04,36,0.0838,0.00765,0.00765
63,GO:0004520,DNA endonuclease activity,23,3,1.09,37,0.09313,0.07667,0.07667
107,GO:0020037,heme binding,166,12,7.88,38,0.096,0.16406,0.16406
96,GO:0046906,tetrapyrrole binding,167,12,7.93,39,0.09926,0.13728,0.13728
84,GO:0004857,enzyme inhibitor activity,69,6,3.27,40,0.10824,0.1178,0.1178
113,GO:0008252,nucleotidase activity,12,2,0.57,41,0.10834,0.17853,0.17853
8,GO:0043138,3'-5' DNA helicase activity,13,2,0.62,42,0.12418,0.00083,0.00083
116,GO:0008081,phosphoric diester hydrolase activity,27,3,1.28,43,0.13427,0.18073,0.18073
251,GO:0035064,methylated histone binding,14,2,0.66,44,0.14052,0.56952,0.56952
252,GO:0140034,methylation-dependent protein binding,14,2,0.66,45,0.14052,0.56952,0.56952
332,GO:0016776,"phosphotransferase activity, phosphate g...",14,2,0.66,46,0.14052,0.74335,0.74335
148,GO:0001216,DNA-binding transcription activator acti...,44,4,2.09,47,0.15442,0.26149,0.26149
149,GO:0001228,DNA-binding transcription activator acti...,44,4,2.09,48,0.15442,0.26149,0.26149
127,GO:1901981,phosphatidylinositol phosphate binding,61,5,2.9,49,0.16233,0.21909,0.21909
286,GO:0008289,lipid binding,166,11,7.88,50,0.16516,0.64566,0.64566
357,GO:0043565,sequence-specific DNA binding,701,39,33.27,51,0.16552,0.7848,0.81215
319,GO:0000978,RNA polymerase II cis-regulatory region ...,411,24,19.51,52,0.17001,0.72237,0.72237
48,GO:0022843,voltage-gated monoatomic cation channel ...,31,3,1.47,53,0.18042,0.05234,0.05234
141,GO:0003678,DNA helicase activity,31,3,1.47,54,0.18042,2.6e-05,0.24756
12,GO:0140678,molecular function inhibitor activity,152,10,7.21,55,0.18534,0.00164,0.00164
352,GO:0000987,cis-regulatory region sequence-specific ...,417,24,19.79,56,0.18828,0.79873,0.79873
162,GO:0004879,nuclear receptor activity,17,2,0.81,57,0.19178,0.31776,0.31776
163,GO:0098531,ligand-activated transcription factor ac...,17,2,0.81,58,0.19178,0.31776,0.31776
189,GO:0019205,nucleobase-containing compound kinase ac...,17,2,0.81,59,0.19178,0.41412,0.41412
256,GO:0032934,sterol binding,17,2,0.81,60,0.19178,0.57741,0.57741
157,GO:0015079,potassium ion transmembrane transporter ...,49,4,2.33,61,0.202,0.30818,0.30818
78,GO:0140030,modification-dependent protein binding,33,3,1.57,62,0.20491,0.10925,0.10925
315,GO:0042626,ATPase-coupled transmembrane transporter...,84,6,3.99,63,0.20806,0.2081,0.7047
144,GO:0005102,signaling receptor binding,138,9,6.55,64,0.20856,0.25407,0.25407
3,GO:0017056,structural constituent of nuclear pore,18,2,0.85,65,0.20938,4.1e-05,4.1e-05
281,GO:0008083,growth factor activity,18,2,0.85,66,0.20938,0.62783,0.62783
296,GO:0005496,steroid binding,18,2,0.85,67,0.20938,0.6598,0.6598
35,GO:0004519,endonuclease activity,50,4,2.37,68,0.212,0.03337,0.03337
20,GO:0046961,"proton-transporting ATPase activity, rot...",19,2,0.9,69,0.22714,0.00941,0.00941
542,GO:0009678,pyrophosphate hydrolysis-driven proton t...,19,2,0.9,70,0.22714,0.00941,1
544,GO:0042625,ATPase-coupled ion transmembrane transpo...,19,2,0.9,71,0.22714,0.00941,1
545,GO:0044769,"ATPase activity, coupled to transmembran...",19,2,0.9,72,0.22714,0.00941,1
99,GO:0004536,deoxyribonuclease activity,35,3,1.66,73,0.2301,0.00339,0.15157
156,GO:0005267,potassium channel activity,35,3,1.66,74,0.2301,0.2843,0.2843
241,GO:0004521,RNA endonuclease activity,35,3,1.66,75,0.2301,0.55517,0.55517
268,GO:0016860,intramolecular oxidoreductase activity,20,2,0.95,76,0.24499,0.61285,0.61285
170,GO:0099094,ligand-gated monoatomic cation channel a...,37,3,1.76,77,0.25582,0.33167,0.33167
308,GO:0015399,primary active transmembrane transporter...,91,6,4.32,78,0.263,0.43916,0.6875
132,GO:0051119,sugar transmembrane transporter activity,22,2,1.04,79,0.28081,0.23174,0.23174
350,GO:0009975,cyclase activity,22,2,1.04,80,0.28081,0.79429,0.79429
254,GO:0140359,ABC-type transporter activity,58,4,2.75,81,0.29595,0.57309,0.57309
293,GO:0016779,nucleotidyltransferase activity,58,4,2.75,82,0.29595,0.09345,0.65307
372,GO:0016849,phosphorus-oxygen lyase activity,23,2,1.09,83,0.29868,0.84334,0.84334
181,GO:0008061,chitin binding,77,5,3.65,84,0.30199,0.38921,0.38921
317,GO:0019829,ATPase-coupled monoatomic cation transme...,24,2,1.14,85,0.31648,0.00902,0.70973
151,GO:0003729,mRNA binding,117,7,5.55,86,0.31998,0.27334,0.27334
92,GO:0008276,protein methyltransferase activity,42,3,1.99,87,0.3214,0.00123,0.13412
152,GO:0005244,voltage-gated monoatomic ion channel act...,42,3,1.99,88,0.3214,0.27733,0.27733
153,GO:0022832,voltage-gated channel activity,42,3,1.99,89,0.3214,0.27733,0.27733
348,GO:0005543,phospholipid binding,118,7,5.6,90,0.32771,0.79353,0.79353
111,GO:0015144,carbohydrate transmembrane transporter a...,25,2,1.19,91,0.33418,0.17249,0.17249
203,GO:0015297,antiporter activity,25,2,1.19,92,0.33418,0.44477,0.44477
292,GO:0046914,transition metal ion binding,915,46,43.43,93,0.36006,0.6509,0.6509
307,GO:0008194,UDP-glycosyltransferase activity,64,4,3.04,94,0.36133,0.68595,0.68595
171,GO:0005507,copper ion binding,27,2,1.28,95,0.36914,0.3396,0.3396
343,GO:0004180,carboxypeptidase activity,27,2,1.28,96,0.36914,0.77917,0.77917
17,GO:0003697,single-stranded DNA binding,46,3,2.18,97,0.37405,0.00742,0.00742
37,GO:0003723,RNA binding,591,30,28.05,98,0.37653,0.03545,0.03545
158,GO:0003676,nucleic acid binding,1939,95,92.03,99,0.37841,0.09167,0.3084
15,GO:0017116,single-stranded DNA helicase activity,10,1,0.47,100,0.38523,0.00671,0.00671
44,GO:0019903,protein phosphatase binding,10,1,0.47,101,0.38523,0.04902,0.04902
67,GO:0005432,calcium:sodium antiporter activity,10,1,0.47,102,0.38523,0.08959,0.08959
68,GO:0015368,calcium:monoatomic cation antiporter act...,10,1,0.47,103,0.38523,0.08959,0.08959
98,GO:0002161,aminoacyl-tRNA editing activity,10,1,0.47,104,0.38523,0.15156,0.15156
211,GO:0016597,amino acid binding,10,1,0.47,105,0.38523,0.48375,0.48375
314,GO:0005178,integrin binding,10,1,0.47,106,0.38523,0.69931,0.69931
362,GO:0120014,phospholipid transfer activity,10,1,0.47,107,0.38523,0.82698,0.82698
367,GO:0043178,alcohol binding,10,1,0.47,108,0.38523,0.83492,0.83492
438,GO:0016722,"oxidoreductase activity, acting on metal...",10,1,0.47,109,0.38523,0.92784,0.92784
166,GO:0140104,molecular carrier activity,28,2,1.33,110,0.38635,0.32558,0.32558
370,GO:0000981,DNA-binding transcription factor activit...,533,27,25.3,111,0.39011,0.83789,0.83789
176,GO:0001664,G protein-coupled receptor binding,29,2,1.38,112,0.40335,0.36016,0.36016
312,GO:0016810,"hydrolase activity, acting on carbon-nit...",68,4,3.23,113,0.40494,0.69607,0.69607
487,GO:0003824,catalytic activity,3481,168,165.21,114,0.40515,0.6503,0.96765
45,GO:0019902,phosphatase binding,11,1,0.52,115,0.41445,0.05024,0.05024
60,GO:0003756,protein disulfide isomerase activity,11,1,0.52,116,0.41445,0.07062,0.07062
61,GO:0016864,"intramolecular oxidoreductase activity, ...",11,1,0.52,117,0.41445,0.07062,0.07062
164,GO:0008375,acetylglucosaminyltransferase activity,11,1,0.52,118,0.41445,0.32203,0.32203
182,GO:0031369,translation initiation factor binding,11,1,0.52,119,0.41445,0.39259,0.39259
236,GO:0140612,DNA damage sensor activity,11,1,0.52,120,0.41445,0.54122,0.54122
237,GO:0140664,ATP-dependent DNA damage sensor activity,11,1,0.52,121,0.41445,0.54122,0.54122
369,GO:0004089,carbonate dehydratase activity,11,1,0.52,122,0.41445,0.83631,0.83631
436,GO:0001671,ATPase activator activity,11,1,0.52,123,0.41445,0.92724,0.92724
180,GO:0035091,phosphatidylinositol binding,89,5,4.22,124,0.41607,0.38502,0.38502
387,GO:0003700,DNA-binding transcription factor activit...,648,32,30.76,125,0.43359,0.8638,0.8638
428,GO:0005319,lipid transporter activity,51,3,2.42,126,0.4386,0.92217,0.92217
434,GO:0016829,lyase activity,112,6,5.32,127,0.44089,0.92497,0.92497
4,GO:0018024,histone lysine N-methyltransferase activ...,12,1,0.57,128,0.44227,0.00013,0.00013
5,GO:0140938,histone H3 methyltransferase activity,12,1,0.57,129,0.44227,0.00013,0.00013
13,GO:0003688,DNA replication origin binding,12,1,0.57,130,0.44227,0.0027,0.0027
16,GO:0042162,telomeric DNA binding,12,1,0.57,131,0.44227,0.00693,0.00693
26,GO:0070566,adenylyltransferase activity,12,1,0.57,132,0.44227,0.01579,0.01579
225,GO:0005544,calcium-dependent phospholipid binding,12,1,0.57,133,0.44227,0.52469,0.52469
331,GO:0008569,minus-end-directed microtubule motor act...,12,1,0.57,134,0.44227,0.7412,0.7412
400,GO:0008227,G protein-coupled amine receptor activit...,12,1,0.57,135,0.44227,0.8785,0.8785
422,GO:0120013,lipid transfer activity,12,1,0.57,136,0.44227,0.91472,0.91472
154,GO:0004540,ribonuclease activity,52,3,2.47,137,0.45122,0.27798,0.27798
479,GO:0043035,chromatin insulator sequence binding,32,2,1.52,138,0.45293,0.9615,0.9615
121,GO:0004518,nuclease activity,93,5,4.41,139,0.4538,0.02198,0.18914
21,GO:0032452,histone demethylase activity,13,1,0.62,140,0.46878,0.01139,0.01139
22,GO:0140457,protein demethylase activity,13,1,0.62,141,0.46878,0.01139,0.01139
36,GO:0003730,mRNA 3'-UTR binding,13,1,0.62,142,0.46878,0.03343,0.03343
82,GO:0015035,protein-disulfide reductase activity,13,1,0.62,143,0.46878,0.11362,0.11362
131,GO:0140828,metal cation:monoatomic cation antiporte...,13,1,0.62,144,0.46878,0.23077,0.23077
194,GO:0016891,"RNA endonuclease activity, producing 5'-...",13,1,0.62,145,0.46878,0.42653,0.42653
322,GO:0005125,cytokine activity,13,1,0.62,146,0.46878,0.72452,0.72452
358,GO:0035591,signaling adaptor activity,13,1,0.62,147,0.46878,0.81306,0.81306
414,GO:0004383,guanylate cyclase activity,13,1,0.62,148,0.46878,0.90183,0.90183
424,GO:0072341,modified amino acid binding,13,1,0.62,149,0.46878,0.91589,0.91589
445,GO:0010181,FMN binding,13,1,0.62,150,0.46878,0.93518,0.93518
47,GO:0005085,guanyl-nucleotide exchange factor activi...,74,4,3.51,151,0.46911,0.05105,0.05105
303,GO:0048018,receptor ligand activity,54,3,2.56,152,0.47611,0.68097,0.68097
150,GO:0004713,protein tyrosine kinase activity,34,2,1.61,153,0.48465,0.27282,0.27282
410,GO:0022804,active transmembrane transporter activit...,159,8,7.55,154,0.48479,0.5067,0.89691
298,GO:0030546,signaling receptor activator activity,55,3,2.61,155,0.48836,0.6641,0.6641
192,GO:0140640,"catalytic activity, acting on a nucleic ...",349,17,16.56,156,0.49226,0.00156,0.41656
105,GO:0005044,scavenger receptor activity,14,1,0.66,157,0.49403,0.15948,0.15948
310,GO:0005548,phospholipid transporter activity,14,1,0.66,158,0.49403,0.69433,0.69433
342,GO:0140299,small molecule sensor activity,14,1,0.66,159,0.49403,0.77425,0.77425
228,GO:0003777,microtubule motor activity,35,2,1.66,160,0.50008,0.52914,0.52914
289,GO:0030545,signaling receptor regulator activity,56,3,2.66,161,0.50047,0.64739,0.64739
446,GO:0000977,RNA polymerase II transcription regulato...,583,28,27.67,162,0.50317,0.9361,0.9361
33,GO:0005509,calcium ion binding,183,9,8.69,163,0.50548,0.03161,0.03161
25,GO:0004386,helicase activity,78,4,3.7,164,0.51048,8.3e-06,0.01577
366,GO:0016836,hydro-lyase activity,36,2,1.71,165,0.51521,0.83471,0.83471
38,GO:0032451,demethylase activity,15,1,0.71,166,0.51809,0.03606,0.03606
57,GO:0004693,cyclin-dependent protein serine/threonin...,15,1,0.71,167,0.51809,0.06585,0.06585
58,GO:0097472,cyclin-dependent protein kinase activity,15,1,0.71,168,0.51809,0.06585,0.06585
59,GO:0000993,RNA polymerase II complex binding,15,1,0.71,169,0.51809,0.06939,0.06939
75,GO:0038024,cargo receptor activity,15,1,0.71,170,0.51809,0.10321,0.10321
210,GO:0140142,nucleocytoplasmic carrier activity,15,1,0.71,171,0.51809,0.48266,0.48266
282,GO:0051959,dynein light intermediate chain binding,15,1,0.71,172,0.51809,0.63122,0.63122
288,GO:0019239,deaminase activity,15,1,0.71,173,0.51809,0.64635,0.64635
172,GO:0022853,active monoatomic ion transmembrane tran...,58,3,2.75,174,0.52424,0.0454,0.35123
380,GO:0016835,carbon-oxygen lyase activity,37,2,1.76,175,0.53003,0.85311,0.85311
117,GO:0031593,polyubiquitin modification-dependent pro...,16,1,0.76,176,0.541,0.18377,0.18377
199,GO:0015036,disulfide oxidoreductase activity,16,1,0.76,177,0.541,0.43648,0.43648
258,GO:0140102,"catalytic activity, acting on a rRNA",16,1,0.76,178,0.541,0.58346,0.58346
404,GO:0008028,monocarboxylic acid transmembrane transp...,16,1,0.76,179,0.541,0.88889,0.88889
235,GO:0016811,"hydrolase activity, acting on carbon-nit...",38,2,1.8,180,0.54454,0.54028,0.54028
280,GO:0008134,transcription factor binding,38,2,1.8,181,0.54454,0.62654,0.62654
392,GO:0140110,transcription regulator activity,768,36,36.45,182,0.55868,0.86989,0.86989
204,GO:0042578,phosphoric ester hydrolase activity,170,8,8.07,183,0.56163,0.45351,0.45351
112,GO:0030515,snoRNA binding,17,1,0.81,184,0.56283,0.17356,0.17356
126,GO:0016893,"endonuclease activity, active with eithe...",17,1,0.81,185,0.56283,0.21602,0.21602
459,GO:1901505,carbohydrate derivative transmembrane tr...,17,1,0.81,186,0.56283,0.94621,0.94621
450,GO:0030170,pyridoxal phosphate binding,40,2,1.9,187,0.57262,0.93926,0.93926
451,GO:0070279,vitamin B6 binding,40,2,1.9,188,0.57262,0.93926,0.93926
393,GO:0038023,signaling receptor activity,280,13,13.29,189,0.57399,0.87017,0.87017
394,GO:0060089,molecular transducer activity,280,13,13.29,190,0.57399,0.87017,0.87017
32,GO:0043175,RNA polymerase core enzyme binding,18,1,0.85,191,0.58362,0.02477,0.02477
174,GO:0016706,2-oxoglutarate-dependent dioxygenase act...,18,1,0.85,192,0.58362,0.35305,0.35305
334,GO:0099106,ion channel regulator activity,18,1,0.85,193,0.58362,0.74894,0.74894
340,GO:0016278,lysine N-methyltransferase activity,18,1,0.85,194,0.58362,0.00438,0.76498
341,GO:0016279,protein-lysine N-methyltransferase activ...,18,1,0.85,195,0.58362,0.00438,0.76498
399,GO:0042802,identical protein binding,18,1,0.85,196,0.58362,0.8774,0.8774
471,GO:0060590,ATPase regulator activity,18,1,0.85,197,0.58362,0.95423,0.95423
478,GO:1990837,sequence-specific double-stranded DNA bi...,629,29,29.85,198,0.59489,0.96654,0.96015
142,GO:0004197,cysteine-type endopeptidase activity,42,2,1.99,199,0.59941,0.25197,0.25197
27,GO:0070063,RNA polymerase binding,19,1,0.9,200,0.60342,0.01745,0.01745
41,GO:0001098,basal transcription machinery binding,19,1,0.9,201,0.60342,0.04436,0.04436
42,GO:0001099,basal RNA polymerase II transcription ma...,19,1,0.9,202,0.60342,0.04436,0.04436
140,GO:0005516,calmodulin binding,19,1,0.9,203,0.60342,0.24664,0.24664
265,GO:0045505,dynein intermediate chain binding,19,1,0.9,204,0.60342,0.60137,0.60137
349,GO:0016247,channel regulator activity,19,1,0.9,205,0.60342,0.79401,0.79401
476,GO:0015932,nucleobase-containing compound transmemb...,19,1,0.9,206,0.60342,0.95669,0.95669
420,GO:0098772,molecular function regulator activity,373,17,17.7,207,0.60559,0.26653,0.91101
474,GO:0000976,transcription cis-regulatory region bind...,612,28,29.05,208,0.61095,0.9566,0.9566
475,GO:0001067,transcription regulatory region nucleic ...,612,28,29.05,209,0.61095,0.9566,0.9566
492,GO:0003677,DNA binding,1195,55,56.72,210,0.62211,0.9255,0.97511
147,GO:0004714,transmembrane receptor protein tyrosine ...,20,1,0.95,211,0.62229,0.25911,0.25911
472,GO:0051087,chaperone binding,20,1,0.95,212,0.62229,0.95516,0.95516
481,GO:0003899,DNA-directed 5'-3' RNA polymerase activi...,20,1,0.95,213,0.62229,0.9625,0.9625
482,GO:0034062,5'-3' RNA polymerase activity,20,1,0.95,214,0.62229,0.9625,0.9625
483,GO:0097747,RNA polymerase activity,20,1,0.95,215,0.62229,0.9625,0.9625
160,GO:0005261,monoatomic cation channel activity,114,5,5.41,216,0.63538,0.31557,0.31557
504,GO:0004930,G protein-coupled receptor activity,115,5,5.46,217,0.64307,0.98706,0.98706
328,GO:0046872,metal ion binding,1248,57,59.23,218,0.64831,0.73488,0.73488
50,GO:0015078,proton transmembrane transporter activit...,46,2,2.18,219,0.64917,0.0623,0.05723
102,GO:0031267,small GTPase binding,46,2,2.18,220,0.64917,0.15415,0.15415
103,GO:0051020,GTPase binding,46,2,2.18,221,0.64917,0.15415,0.15415
295,GO:0008170,N-methyltransferase activity,46,2,2.18,222,0.64917,0.06253,0.65908
114,GO:0016887,ATP hydrolysis activity,206,9,9.78,223,0.64919,0.179,0.179
201,GO:0031406,carboxylic acid binding,22,1,1.04,224,0.65737,0.44092,0.44092
202,GO:0043177,organic acid binding,22,1,1.04,225,0.65737,0.44092,0.44092
396,GO:0004181,metallocarboxypeptidase activity,22,1,1.04,226,0.65737,0.8745,0.8745
507,GO:0030276,clathrin binding,22,1,1.04,227,0.65737,0.98785,0.98785
336,GO:0043169,cation binding,1278,58,60.66,228,0.66946,0.75096,0.75096
54,GO:0003713,transcription coactivator activity,48,2,2.28,229,0.67215,0.06087,0.06087
161,GO:0016538,cyclin-dependent protein serine/threonin...,23,1,1.09,230,0.67368,0.31586,0.31586
299,GO:0050661,NADP binding,23,1,1.09,231,0.67368,0.66746,0.66746
515,GO:0016491,oxidoreductase activity,590,26,28,232,0.68526,0.99153,0.99153
431,GO:0008066,glutamate receptor activity,24,1,1.14,233,0.68921,0.9241,0.9241
85,GO:0140657,ATP-dependent activity,393,17,18.65,234,0.69082,0.00313,0.12439
66,GO:0030234,enzyme regulator activity,282,12,13.38,235,0.69402,0.08788,0.08788
6,GO:0003684,damaged DNA binding,25,1,1.19,236,0.704,0.00033,0.00033
206,GO:0004601,peroxidase activity,25,1,1.19,237,0.704,0.45958,0.45958
207,GO:0003774,cytoskeletal motor activity,51,2,2.42,238,0.70432,0.46358,0.46358
294,GO:0016772,"transferase activity, transferring phosp...",397,17,18.84,239,0.70655,0.01403,0.65442
329,GO:0015276,ligand-gated monoatomic ion channel acti...,76,3,3.61,240,0.70666,0.73555,0.73555
330,GO:0022834,ligand-gated channel activity,76,3,3.61,241,0.70666,0.73555,0.73555
449,GO:0003682,chromatin binding,171,7,8.12,242,0.70924,0.93919,0.93919
488,GO:0016614,"oxidoreductase activity, acting on CH-OH...",101,4,4.79,243,0.71305,0.97014,0.97014
104,GO:0042393,histone binding,52,2,2.47,244,0.71445,0.15667,0.15667
193,GO:0016684,"oxidoreductase activity, acting on perox...",26,1,1.23,245,0.71809,0.41908,0.41908
191,GO:0051213,dioxygenase activity,27,1,1.28,246,0.73151,0.41434,0.41434
306,GO:0016788,"hydrolase activity, acting on ester bond...",359,15,17.04,247,0.73337,0.58531,0.68577
89,GO:0019199,transmembrane receptor protein kinase ac...,28,1,1.33,248,0.74429,0.12968,0.12968
532,GO:0004364,glutathione transferase activity,28,1,1.33,249,0.74429,0.99768,0.99768
97,GO:0008017,microtubule binding,81,3,3.84,250,0.74665,0.1504,0.1504
233,GO:0008168,methyltransferase activity,106,4,5.03,251,0.74788,0.16315,0.53896
185,GO:0016301,kinase activity,318,13,15.09,252,0.75094,0.00401,0.40104
429,GO:0016616,"oxidoreductase activity, acting on the C...",82,3,3.89,253,0.75411,0.92245,0.92245
76,GO:0015179,L-amino acid transmembrane transporter a...,29,1,1.38,254,0.75647,0.10504,0.10504
173,GO:0016831,carboxy-lyase activity,29,1,1.38,255,0.75647,0.3516,0.3516
498,GO:0016667,"oxidoreductase activity, acting on a sul...",29,1,1.38,256,0.75647,0.98294,0.98294
335,GO:0005549,odorant binding,57,2,2.71,257,0.76079,0.75052,0.75052
123,GO:0005262,calcium channel activity,31,1,1.47,258,0.77912,0.21032,0.21032
220,GO:0016741,"transferase activity, transferring one-c...",113,4,5.36,259,0.79109,0.15762,0.50479
339,GO:0019842,vitamin binding,61,2,2.9,260,0.79304,0.76425,0.76425
291,GO:0008270,zinc ion binding,695,29,32.99,261,0.79627,0.65084,0.65084
10,GO:0004674,protein serine/threonine kinase activity,140,5,6.64,262,0.80112,0.0011,0.0011
71,GO:0003712,transcription coregulator activity,115,4,5.46,263,0.80229,0.09428,0.09428
229,GO:0016791,phosphatase activity,141,5,6.69,264,0.80609,0.53449,0.53449
216,GO:0022836,gated channel activity,116,4,5.51,265,0.8077,0.49729,0.49729
217,GO:0022839,monoatomic ion gated channel activity,116,4,5.51,266,0.8077,0.49729,0.49729
264,GO:0008324,monoatomic cation transmembrane transpor...,195,7,9.26,267,0.82517,0.45068,0.59889
184,GO:0008408,3'-5' exonuclease activity,36,1,1.71,268,0.82696,0.39887,0.39887
524,GO:0016209,antioxidant activity,36,1,1.71,269,0.82696,0.99463,0.99463
219,GO:1901363,heterocyclic compound binding,2957,132,140.34,270,0.82834,0.07666,0.5029
242,GO:0097159,organic cyclic compound binding,2979,133,141.39,271,0.82914,0.07383,0.55536
122,GO:0051015,actin filament binding,67,2,3.18,272,0.83422,0.19766,0.19766
412,GO:0015291,secondary active transmembrane transport...,67,2,3.18,273,0.83422,0.89896,0.89896
73,GO:0015085,calcium ion transmembrane transporter ac...,37,1,1.76,274,0.8352,0.09848,0.09848
409,GO:0043130,ubiquitin binding,37,1,1.76,275,0.8352,0.8969,0.8969
226,GO:0090079,"translation regulator activity, nucleic ...",68,2,3.23,276,0.84032,0.52605,0.52605
77,GO:0008080,N-acetyltransferase activity,38,1,1.8,277,0.84306,0.1085,0.1085
297,GO:0003743,translation initiation factor activity,38,1,1.8,278,0.84306,0.66128,0.66128
441,GO:0008514,organic anion transmembrane transporter ...,97,3,4.6,279,0.84598,0.93028,0.93028
347,GO:0016830,carbon-carbon lyase activity,39,1,1.85,280,0.85054,0.7918,0.7918
460,GO:0016757,glycosyltransferase activity,125,4,5.93,281,0.85118,0.94674,0.94674
468,GO:0003690,double-stranded DNA binding,723,29,34.31,282,0.85714,0.93878,0.95348
467,GO:0032182,ubiquitin-like protein binding,40,1,1.9,283,0.85767,0.95235,0.95235
138,GO:0016410,N-acyltransferase activity,41,1,1.95,284,0.86446,0.24092,0.24092
452,GO:0051287,NAD binding,41,1,1.95,285,0.86446,0.93984,0.93984
100,GO:0003779,actin binding,101,3,4.79,286,0.86481,0.1522,0.1522
124,GO:0015631,tubulin binding,101,3,4.79,287,0.86481,0.21493,0.21493
133,GO:0004672,protein kinase activity,232,8,11.01,288,0.86725,0.00095,0.23221
39,GO:0003724,RNA helicase activity,42,1,1.99,289,0.87092,0.03927,0.03927
40,GO:0008186,"ATP-dependent activity, acting on RNA",42,1,1.99,290,0.87092,0.03927,0.03927
337,GO:0052689,carboxylic ester hydrolase activity,42,1,1.99,291,0.87092,0.753,0.753
384,GO:0070006,metalloaminopeptidase activity,42,1,1.99,292,0.87092,0.85928,0.85928
323,GO:0005216,monoatomic ion channel activity,183,6,8.69,293,0.87275,0.72766,0.72766
155,GO:0045182,translation regulator activity,74,2,3.51,294,0.87283,0.28119,0.28119
489,GO:0016758,hexosyltransferase activity,74,2,3.51,295,0.87283,0.9726,0.9726
416,GO:0008238,exopeptidase activity,103,3,4.89,296,0.87344,0.90266,0.90266
271,GO:0000149,SNARE binding,43,1,2.04,297,0.87708,0.61783,0.61783
278,GO:0004812,aminoacyl-tRNA ligase activity,43,1,2.04,298,0.87708,0.62551,0.62551
279,GO:0016875,"ligase activity, forming carbon-oxygen b...",43,1,2.04,299,0.87708,0.62551,0.62551
519,GO:0001653,peptide receptor activity,43,1,2.04,300,0.87708,0.99251,0.99251
