,GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,classicKS,elimKS
207,GO:0051235,maintenance of location,22,3,1,106,0.07622,0.08133,0.08133
523,GO:0055080,monoatomic cation homeostasis,82,7,3.74,107,0.07937,0.34109,0.34109
539,GO:0017148,negative regulation of translation,51,5,2.33,108,0.08136,0.06369,0.35704
551,GO:0050801,monoatomic ion homeostasis,83,7,3.78,109,0.08348,0.36251,0.36251
562,GO:0098771,inorganic ion homeostasis,67,6,3.05,110,0.08386,0.3853,0.3853
1088,GO:0022613,ribonucleoprotein complex biogenesis,242,16,11.03,111,0.08591,0.12943,0.87457
449,GO:0034249,negative regulation of amide metabolic p...,52,5,2.37,112,0.08684,0.05222,0.25344
168,GO:0007602,phototransduction,11,2,0.5,113,0.08688,0.06672,0.06672
169,GO:0009581,detection of external stimulus,11,2,0.5,114,0.08688,0.06672,0.06672
170,GO:0009582,detection of abiotic stimulus,11,2,0.5,115,0.08688,0.06672,0.06672
171,GO:0009583,detection of light stimulus,11,2,0.5,116,0.08688,0.06672,0.06672
242,GO:0051568,histone H3-K4 methylation,11,2,0.5,117,0.08688,0.10366,0.10366
608,GO:0006271,DNA strand elongation involved in DNA re...,11,2,0.5,118,0.08688,0.44597,0.44597
609,GO:0022616,DNA strand elongation,11,2,0.5,119,0.08688,0.44597,0.44597
652,GO:0022402,cell cycle process,244,16,11.13,120,0.0908,1.90E-05,0.49993
345,GO:0018022,peptidyl-lysine methylation,24,3,1.09,121,0.09381,0.00632,0.1561
403,GO:2000113,negative regulation of cellular macromol...,54,5,2.46,122,0.09835,0.03475,0.20829
60,GO:0007059,chromosome segregation,70,6,3.19,123,0.09865,0.00442,0.01633
435,GO:0030865,cortical cytoskeleton organization,12,2,0.55,124,0.10121,0.23506,0.23506
722,GO:0006220,pyrimidine nucleotide metabolic process,12,2,0.55,125,0.10121,0.57797,0.57797
723,GO:0006221,pyrimidine nucleotide biosynthetic proce...,12,2,0.55,126,0.10121,0.57797,0.57797
772,GO:0000082,G1/S transition of mitotic cell cycle,12,2,0.55,127,0.10121,0.61657,0.61657
773,GO:0044843,cell cycle G1/S phase transition,12,2,0.55,128,0.10121,0.61657,0.61657
809,GO:0071407,cellular response to organic cyclic comp...,12,2,0.55,129,0.10121,0.65016,0.65016
172,GO:0016571,histone methylation,25,3,1.14,130,0.10317,0.00625,0.06791
559,GO:0045087,innate immune response,25,3,1.14,131,0.10317,0.38329,0.38329
738,GO:1901071,glucosamine-containing compound metaboli...,25,3,1.14,132,0.10317,0.0024,0.59019
235,GO:0006974,cellular response to DNA damage stimulus,195,13,8.89,133,0.10842,1.10E-05,0.10071
20,GO:1903047,mitotic cell cycle process,141,10,6.43,134,0.10949,0.00478,0.00478
103,GO:0098813,nuclear chromosome segregation,56,5,2.55,135,0.11058,0.00836,0.03635
947,GO:0022618,ribonucleoprotein complex assembly,89,7,4.06,136,0.11063,0.15564,0.78086
209,GO:0000902,cell morphogenesis,73,6,3.33,137,0.11473,0.08394,0.08394
36,GO:0000289,nuclear-transcribed mRNA poly(A) tail sh...,13,2,0.59,138,0.11614,0.00964,0.00964
649,GO:0072528,pyrimidine-containing compound biosynthe...,13,2,0.59,139,0.11614,0.49702,0.49702
830,GO:0014070,response to organic cyclic compound,13,2,0.59,140,0.11614,0.68292,0.68292
275,GO:0031175,neuron projection development,74,6,3.37,141,0.12037,0.1251,0.1251
7,GO:0032508,DNA duplex unwinding,27,3,1.23,142,0.12293,3.20E-06,0.00065
1433,GO:0032392,DNA geometric change,27,3,1.23,143,0.12293,3.20E-06,1
26,GO:0006281,DNA repair,163,11,7.43,144,0.12451,6.20E-06,0.00755
228,GO:0048468,cell development,110,8,5.02,145,0.12849,0.09729,0.09729
1086,GO:0071826,ribonucleoprotein complex subunit organi...,93,7,4.24,146,0.13105,0.20685,0.87278
849,GO:0046839,phospholipid dephosphorylation,14,2,0.64,147,0.13158,0.7005,0.7005
42,GO:0006915,apoptotic process,76,6,3.47,148,0.13205,0.01148,0.01148
43,GO:0012501,programmed cell death,76,6,3.47,149,0.13205,0.01148,0.01148
146,GO:0044770,cell cycle phase transition,76,6,3.47,150,0.13205,0.05285,0.05285
127,GO:0000077,DNA damage checkpoint signaling,28,3,1.28,151,0.13329,0.04419,0.04419
33,GO:0008219,cell death,77,6,3.51,152,0.13809,0.00918,0.00918
930,GO:1901701,cellular response to oxygen-containing c...,44,4,2.01,153,0.13916,0.76987,0.76987
675,GO:0030154,cell differentiation,242,15,11.03,154,0.13965,0.52969,0.52969
676,GO:0048869,cellular developmental process,242,15,11.03,155,0.13965,0.52969,0.52969
351,GO:0048666,neuron development,78,6,3.56,156,0.14425,0.16001,0.16001
528,GO:0006811,monoatomic ion transport,321,19,14.64,157,0.14567,0.09244,0.34895
911,GO:0007049,cell cycle,302,18,13.77,158,0.14703,0.00019,0.75633
452,GO:0006298,mismatch repair,15,2,0.68,159,0.14745,0.26089,0.26089
605,GO:1990573,potassium ion import across plasma membr...,15,2,0.68,160,0.14745,0.44407,0.44407
590,GO:0048699,generation of neurons,114,8,5.2,161,0.14845,0.41941,0.41941
948,GO:0006259,DNA metabolic process,304,18,13.86,162,0.15329,6.00E-05,0.78112
71,GO:0031047,RNA-mediated gene silencing,30,3,1.37,163,0.15485,0.01991,0.01991
210,GO:0042770,signal transduction in response to DNA d...,30,3,1.37,164,0.15485,0.08445,0.08445
778,GO:0006040,amino sugar metabolic process,30,3,1.37,165,0.15485,0.03104,0.61882
638,GO:0042592,homeostatic process,116,8,5.29,166,0.15896,0.481,0.481
46,GO:0045132,meiotic chromosome segregation,16,2,0.73,167,0.16368,0.01259,0.01259
685,GO:0010975,regulation of neuron projection developm...,16,2,0.73,168,0.16368,0.54172,0.54172
731,GO:0045727,positive regulation of translation,16,2,0.73,169,0.16368,0.58438,0.58438
176,GO:0030029,actin filament-based process,117,8,5.33,170,0.16434,0.00551,0.06974
177,GO:0030036,actin cytoskeleton organization,117,8,5.33,171,0.16434,0.00551,0.06974
886,GO:0044262,cellular carbohydrate metabolic process,47,4,2.14,172,0.16507,0.73432,0.73432
980,GO:0071805,potassium ion transmembrane transport,47,4,2.14,173,0.16507,0.80404,0.80404
396,GO:0051716,cellular response to stimulus,1064,55,48.51,174,0.17032,0.03177,0.20331
100,GO:1901987,regulation of cell cycle phase transitio...,65,5,2.96,175,0.17379,0.03479,0.03479
1058,GO:1901700,response to oxygen-containing compound,48,4,2.19,176,0.17407,0.857,0.857
1051,GO:0051276,chromosome organization,175,11,7.98,177,0.17489,0.00739,0.85411
424,GO:0071103,DNA conformation change,32,3,1.46,178,0.17742,4.30E-06,0.22796
140,GO:0007165,signal transduction,798,42,36.39,179,0.17806,0.05129,0.05129
55,GO:0070192,chromosome organization involved in meio...,17,2,0.78,180,0.18021,0.01395,0.01395
77,GO:0000027,ribosomal large subunit assembly,17,2,0.78,181,0.18021,0.02372,0.02372
505,GO:0048878,chemical homeostasis,102,7,4.65,182,0.18313,0.31902,0.31902
27,GO:1903046,meiotic cell cycle process,49,4,2.23,183,0.18323,0.00831,0.00831
59,GO:0140014,mitotic nuclear division,49,4,2.23,184,0.18323,0.01574,0.01574
543,GO:0003008,system process,121,8,5.52,185,0.1867,0.35835,0.35835
377,GO:0050896,response to stimulus,1199,61,54.67,186,0.18791,0.01022,0.18676
49,GO:0009889,regulation of biosynthetic process,1159,59,52.85,187,0.19179,0.00702,0.01307
376,GO:0010629,negative regulation of gene expression,122,8,5.56,188,0.19248,0.05646,0.18629
227,GO:0000075,cell cycle checkpoint signaling,50,4,2.28,189,0.19255,0.09669,0.09669
138,GO:0051260,protein homooligomerization,18,2,0.82,190,0.19697,0.0508,0.0508
344,GO:0051983,regulation of chromosome segregation,18,2,0.82,191,0.19697,0.1542,0.1542
583,GO:0032870,cellular response to hormone stimulus,18,2,0.82,192,0.19697,0.40622,0.40622
653,GO:0034250,positive regulation of amide metabolic p...,18,2,0.82,193,0.19697,0.5026,0.5026
918,GO:0051726,regulation of cell cycle,142,9,6.47,194,0.19933,0.04532,0.76141
48,GO:0031570,DNA integrity checkpoint signaling,34,3,1.55,195,0.20081,0.01289,0.01289
114,GO:0031327,negative regulation of cellular biosynth...,143,9,6.52,196,0.20485,0.00886,0.03985
97,GO:0009890,negative regulation of biosynthetic proc...,144,9,6.57,197,0.21043,0.00721,0.0332
346,GO:1901988,negative regulation of cell cycle phase ...,52,4,2.37,198,0.21161,0.15639,0.15639
335,GO:0007088,regulation of mitotic nuclear division,19,2,0.87,199,0.21391,0.15211,0.15211
650,GO:0009725,response to hormone,19,2,0.87,200,0.21391,0.49733,0.49733
1018,GO:0072523,purine-containing compound catabolic pro...,19,2,0.87,201,0.21391,0.8304,0.8304
183,GO:0023052,signaling,877,45,39.99,202,0.21591,0.07189,0.07189
711,GO:0006869,lipid transport,71,5,3.24,203,0.22208,0.57302,0.57302
774,GO:0050877,nervous system process,109,7,4.97,204,0.2287,0.61696,0.61696
54,GO:0031326,regulation of cellular biosynthetic proc...,1156,58,52.71,205,0.22877,0.00751,0.01395
96,GO:0009416,response to light stimulus,20,2,0.91,206,0.23098,0.03315,0.03315
276,GO:0051783,regulation of nuclear division,20,2,0.91,207,0.23098,0.12524,0.12524
776,GO:0009069,serine family amino acid metabolic proce...,20,2,0.91,208,0.23098,0.61848,0.61848
883,GO:0072527,pyrimidine-containing compound metabolic...,20,2,0.91,209,0.23098,0.73249,0.73249
1109,GO:0015850,organic hydroxy compound transport,20,2,0.91,210,0.23098,0.88806,0.88806
909,GO:0044270,cellular nitrogen compound catabolic pro...,129,8,5.88,211,0.23494,0.41549,0.75551
196,GO:0006261,DNA-templated DNA replication,73,5,3.33,212,0.23901,1.30E-07,0.07915
190,GO:0051321,meiotic cell cycle,55,4,2.51,213,0.24112,0.00198,0.07529
829,GO:0006813,potassium ion transport,55,4,2.51,214,0.24112,0.6824,0.6824
895,GO:0046700,heterocycle catabolic process,130,8,5.93,215,0.24126,0.37791,0.74635
141,GO:0045786,negative regulation of cell cycle,74,5,3.37,216,0.24761,0.05193,0.05193
78,GO:0051259,protein complex oligomerization,21,2,0.96,217,0.24813,0.02559,0.02559
960,GO:0009190,cyclic nucleotide biosynthetic process,21,2,0.96,218,0.24813,0.78631,0.78631
1010,GO:0010035,response to inorganic substance,21,2,0.96,219,0.24813,0.82373,0.82373
694,GO:0030182,neuron differentiation,112,7,5.11,220,0.24932,0.55251,0.55251
175,GO:0007154,cell communication,892,45,40.67,221,0.25254,0.06857,0.06857
366,GO:0018205,peptidyl-lysine modification,75,5,3.42,222,0.25629,0.09996,0.17587
44,GO:0010556,regulation of macromolecule biosynthetic...,1149,57,52.39,223,0.26038,0.0063,0.01185
1037,GO:0070887,cellular response to chemical stimulus,114,7,5.2,224,0.26338,0.84518,0.84518
57,GO:0009145,purine nucleoside triphosphate biosynthe...,22,2,1,225,0.26533,0.01431,0.01431
58,GO:0009206,purine ribonucleoside triphosphate biosy...,22,2,1,226,0.26533,0.01431,0.01431
310,GO:0007163,establishment or maintenance of cell pol...,22,2,1,227,0.26533,0.14167,0.14167
540,GO:0120035,regulation of plasma membrane bounded ce...,22,2,1,228,0.26533,0.35716,0.35716
643,GO:0007219,Notch signaling pathway,22,2,1,229,0.26533,0.4895,0.4895
957,GO:0022406,membrane docking,22,2,1,230,0.26533,0.78585,0.78585
958,GO:0140056,organelle localization by membrane tethe...,22,2,1,231,0.26533,0.78585,0.78585
548,GO:0048870,cell motility,58,4,2.64,232,0.27149,0.36106,0.36106
726,GO:0010876,lipid localization,77,5,3.51,233,0.27385,0.58175,0.58175
28,GO:0010468,regulation of gene expression,1262,62,57.54,234,0.27553,0.00375,0.00842
967,GO:0022008,neurogenesis,136,8,6.2,235,0.28029,0.79114,0.79114
350,GO:0040011,locomotion,59,4,2.69,236,0.28177,0.15891,0.15891
599,GO:0031344,regulation of cell projection organizati...,23,2,1.05,237,0.28252,0.44221,0.44221
1020,GO:0009187,cyclic nucleotide metabolic process,23,2,1.05,238,0.28252,0.83204,0.83204
1098,GO:0034765,regulation of monoatomic ion transmembra...,23,2,1.05,239,0.28252,0.88215,0.88215
1090,GO:0019439,aromatic compound catabolic process,137,8,6.25,240,0.28696,0.64365,0.87702
1167,GO:0005996,monosaccharide metabolic process,41,3,1.87,241,0.28702,0.92601,0.92601
965,GO:0034655,nucleobase-containing compound catabolic...,118,7,5.38,242,0.29212,0.30455,0.78961
2,GO:0006270,DNA replication initiation,24,2,1.09,243,0.29967,3.90E-05,3.90E-05
37,GO:0009201,ribonucleoside triphosphate biosynthetic...,24,2,1.09,244,0.29967,0.00971,0.00971
349,GO:0008643,carbohydrate transport,24,2,1.09,245,0.29967,0.15882,0.15882
545,GO:0098659,inorganic cation import across plasma me...,24,2,1.09,246,0.29967,0.36105,0.36105
546,GO:0098739,import across plasma membrane,24,2,1.09,247,0.29967,0.36105,0.36105
547,GO:0099587,inorganic ion import across plasma membr...,24,2,1.09,248,0.29967,0.36105,0.36105
666,GO:0022603,regulation of anatomical structure morph...,24,2,1.09,249,0.29967,0.51479,0.51479
143,GO:0010558,negative regulation of macromolecule bio...,139,8,6.34,250,0.30042,0.01192,0.05226
782,GO:0051248,negative regulation of protein metabolic...,80,5,3.65,251,0.30064,0.25374,0.62236
790,GO:0048856,anatomical structure development,364,19,16.6,252,0.3026,0.63348,0.63348
14,GO:0010564,regulation of cell cycle process,100,6,4.56,253,0.30488,0.00293,0.00293
374,GO:0098655,monoatomic cation transmembrane transpor...,180,10,8.21,254,0.30566,0.18274,0.18274
53,GO:0000070,mitotic sister chromatid segregation,43,3,1.96,255,0.3123,0.01384,0.01384
521,GO:0016477,cell migration,43,3,1.96,256,0.3123,0.33758,0.33758
1040,GO:1901361,organic cyclic compound catabolic proces...,141,8,6.43,257,0.31402,0.5999,0.84609
69,GO:0009314,response to radiation,25,2,1.14,258,0.31676,0.0188,0.0188
142,GO:0000723,telomere maintenance,25,2,1.14,259,0.31676,0.05195,0.05195
557,GO:0051606,detection of stimulus,25,2,1.14,260,0.31676,0.37885,0.37885
759,GO:0010628,positive regulation of gene expression,25,2,1.14,261,0.31676,0.60898,0.60898
920,GO:0006575,cellular modified amino acid metabolic p...,25,2,1.14,262,0.31676,0.76227,0.76227
1199,GO:0034762,regulation of transmembrane transport,25,2,1.14,263,0.31676,0.93967,0.93967
584,GO:0000278,mitotic cell cycle,182,10,8.3,264,0.31766,0.00573,0.40862
866,GO:0006310,DNA recombination,142,8,6.47,265,0.32087,0.28397,0.71663
330,GO:0007346,regulation of mitotic cell cycle,63,4,2.87,266,0.32336,0.15011,0.15011
398,GO:0007411,axon guidance,44,3,2.01,267,0.32497,0.20419,0.20419
399,GO:0097485,neuron projection guidance,44,3,2.01,268,0.32497,0.20419,0.20419
467,GO:0006479,protein methylation,44,3,2.01,269,0.32497,0.01394,0.27948
468,GO:0008213,protein alkylation,44,3,2.01,270,0.32497,0.01394,0.27948
193,GO:0032200,telomere organization,26,2,1.19,271,0.33375,0.07626,0.07626
614,GO:0098657,import into cell,26,2,1.19,272,0.33375,0.45402,0.45402
32,GO:0000819,sister chromatid segregation,45,3,2.05,273,0.33764,0.00918,0.00918
485,GO:0051246,regulation of protein metabolic process,207,11,9.44,274,0.34433,0.13716,0.30139
1228,GO:0009142,nucleoside triphosphate biosynthetic pro...,27,2,1.23,275,0.35062,0.01751,0.95617
492,GO:0006935,chemotaxis,47,3,2.14,276,0.36292,0.30393,0.30393
1102,GO:0007189,adenylate cyclase-activating G protein-c...,28,2,1.28,277,0.36733,0.88412,0.88412
179,GO:0050794,regulation of cellular process,2319,109,105.74,278,0.36766,0.00499,0.07076
185,GO:0006360,transcription by RNA polymerase I,10,1,0.46,279,0.37311,0.07252,0.07252
191,GO:0000271,polysaccharide biosynthetic process,10,1,0.46,280,0.37311,0.0754,0.0754
192,GO:0033692,cellular polysaccharide biosynthetic pro...,10,1,0.46,281,0.37311,0.0754,0.0754
266,GO:0022604,regulation of cell morphogenesis,10,1,0.46,282,0.37311,0.11941,0.11941
291,GO:0031056,regulation of histone modification,10,1,0.46,283,0.37311,0.13041,0.13041
303,GO:0006446,regulation of translational initiation,10,1,0.46,284,0.37311,0.13702,0.13702
365,GO:0048598,embryonic morphogenesis,10,1,0.46,285,0.37311,0.17291,0.17291
462,GO:0046514,ceramide catabolic process,10,1,0.46,286,0.37311,0.26999,0.26999
478,GO:0006303,double-strand break repair via nonhomolo...,10,1,0.46,287,0.37311,0.29269,0.29269
544,GO:0045597,positive regulation of cell differentiat...,10,1,0.46,288,0.37311,0.36034,0.36034
561,GO:0000727,double-strand break repair via break-ind...,10,1,0.46,289,0.37311,0.38507,0.38507
746,GO:0010942,positive regulation of cell death,10,1,0.46,290,0.37311,0.59702,0.59702
747,GO:0043065,positive regulation of apoptotic process,10,1,0.46,291,0.37311,0.59702,0.59702
748,GO:0043068,positive regulation of programmed cell d...,10,1,0.46,292,0.37311,0.59702,0.59702
751,GO:0055075,potassium ion homeostasis,10,1,0.46,293,0.37311,0.60192,0.60192
753,GO:0051123,RNA polymerase II preinitiation complex ...,10,1,0.46,294,0.37311,0.60328,0.60328
771,GO:0006144,purine nucleobase metabolic process,10,1,0.46,295,0.37311,0.61609,0.61609
802,GO:0051453,regulation of intracellular pH,10,1,0.46,296,0.37311,0.64173,0.64173
828,GO:0002684,positive regulation of immune system pro...,10,1,0.46,297,0.37311,0.68194,0.68194
839,GO:0007266,Rho protein signal transduction,10,1,0.46,298,0.37311,0.69151,0.69151
919,GO:0000302,response to reactive oxygen species,10,1,0.46,299,0.37311,0.76175,0.76175
927,GO:0007229,integrin-mediated signaling pathway,10,1,0.46,300,0.37311,0.76699,0.76699
1003,GO:0048729,tissue morphogenesis,10,1,0.46,301,0.37311,0.81775,0.81775
1038,GO:0006094,gluconeogenesis,10,1,0.46,302,0.37311,0.84528,0.84528
1039,GO:0019319,hexose biosynthetic process,10,1,0.46,303,0.37311,0.84528,0.84528
1055,GO:0032366,intracellular sterol transport,10,1,0.46,304,0.37311,0.85616,0.85616
1033,GO:0050793,regulation of developmental process,48,3,2.19,305,0.37551,0.84237,0.84237
